text,x,y,label
Will call of duty WWII go down in price on black Friday?,2.599938,-1.2540808,unknown
can you tell me if any of your shops in the Edinburgh area sell Caribbean foods such as Dunn’s river jerk seasoning?,4.041887,-0.40169618,unknown
Time for  to clean up their act or waiting for @133684 customers to complain of crud falling in their drinks from filthy aircon? https://t.co/f3mSgR2BMd,2.6140924,1.6701305,unknown
you need to update your website as it says LOL big surprise dolls are in stock when they aren't #wastesjourney,3.0215423,0.016573291,unknown
@AldiUK Congratulations on leading the way. Now it's up to. @117249 @sainsburys @Morrisons   @117250 @117246  https://t.co/d7L3jTIacD,4.433653,3.734657,unknown
"Hello, I looked in your Evesham store for the Kellogg’s advent calendar today but couldn’t find them. Are they in stores yet? Thanks!",4.538098,-0.23066354,unknown
steak not up to your usual standard tonight Tesco 😟 All this is about to go in the food recycling bin #fat &amp; #gristle https://t.co/qla4IQU512,7.456856,-0.96689916,unknown
"Why is all the Halloween food - pumpkin pasties, witches fingers etc - are unavailable on your website? Are they still in store?",6.206122,2.5128174,unknown
"can you add food bank donations to online shopping baskets, I would donate every week if you did",5.4374714,1.9883832,unknown
why have you discontinued the tescos own brand Thai green curry paste. It was my favourite😭😭,7.5505724,-0.5375861,unknown
"Please, please, please stop using @147613 They have failed to deliver my order twice now. Both times claiming they had tried. I was here waiting - no-one came anywhere near my house. They lied about leaving a card. They can't be contacted by phone. I am FURIOUS!",0.10399207,1.0149106,unknown
I was in  s in Sale yesterday and as I was checking which tv guide to buy a friendly staff member said hello. It made my day. Ty #WMHD,0.8682041,3.3667495,unknown
If we can't spend old £1 after today perhaps  shouldn't be giving them out in change still on Saturday afternoon.,2.593526,-2.5149498,unknown
"this happens every time to finest soup, pls make a lid that works properly!! #shitlid https://t.co/XPlOqoQSG7",7.7753143,-0.007011015,unknown
please please please can u reprogramme yr substitution computer how on earth would you get Sauvignon blanc instead of Macon village when u have other Macon’s available ! V frustrating,4.287163,-0.86424166,unknown
Dear  can you please inform me as to why my order for Xbox one X (4H7M64GDV) placed and paid for in September has not been dispatched,1.9553596,-1.2913276,unknown
"Hello, is there any chance of getting something you no longer sell? (old stock etc...)",2.1893263,0.3665244,unknown
yo,4.6626883,3.2112744,unknown
"hello I sent a message regarding an order 10 hours ago and I’m still awaiting a response,please help because the delivery is tomorrow",-0.3338251,1.1096972,unknown
Whatever you have done this year to seal the glitter on your xmas wrapping paper stops the sellotape sticking to it!!! 🤷🏼‍♀️🤦🏼‍♀️ (using 3M tape) #tesco #xmas #wrappingpaper #nonstick https://t.co/5k1AdhFTgB,4.6927137,1.5305274,unknown
Bought some milk yesterday evening at full price for me to get home this evening and it ran out of date yesterday 🤔🤔🙄 #Annoyed,5.1964173,-1.2598774,unknown
"just been to collect a click and collect first of all to be told it had been collected,then to be told it's been sent back! #nothappy",1.0447515,0.674158,unknown
"new grocery online website is just awful, like going back in time!",0.9853909,-1.1701571,unknown
are you really paying staff with prepaid cards...outragrous abuse if true,1.421304,1.5116206,unknown
"received a direct order today was supposed to be a kids bike,got it home ( huge box) opened it and it's a SUITCASE !!!",3.2866821,0.70878977,unknown
my Clubcard Boost still hasn't been emailed to me. Usually arrives in a few hours but it's now been nearly 24.,-0.89843404,-0.595895,unknown
"@55982  I would just like to say I was very unhappy with the service I received today. I initially picked up some heels from Dorothy Perkins which I was very passionate about buying, however I was not notified that I had to purchase them specifically from...",0.22040063,1.6904551,unknown
