pubtime,medium_code,medium_name,rubric,language,char_count,head,subhead,length,year,text,meta,x,y,label
2022-10-11 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Zürich und Region,German,5977,Kritik am Diversity-Kurs des Schauspielhauses,Der Stadtrat muss über die wirtschaftlichen Konsequenzen der sinkenden Abo-Zahlen Auskunft geben,5799,2022,Der woke Einheitsbrei vergrault die Zuschauer.»,"10/11/2022, NZZ",4.1474843,1.7170374,unlabeled
2021-03-05 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9909,Die Krise schafft die schönsten Lieder,"Musik ist eine geduldige Therapeutin. Sie lässt sich Zweifel, Hass und Kummer gefallen – und profitiert gar davon.",9800,2021,"Man steht auf am Morgen, am Mittag oder mitten in der Nacht.","03/05/2021, NZZ",1.8310732,2.5420718,unlabeled
2022-09-26 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,9508,Die Fast-Siegerpartei,In den USA haben die Demokraten ein grösseres Wählerreservoir als die Republikaner. Aber sie werden geschwächt durch Wahlrecht und Flügelkämpfe. Gastkommentar von Stephan Bierling,9387,2022,"Es ist unklar, ob sie sich dadurch vom Wählen abhalten lassen.","09/26/2022, NZZ",6.101481,3.4143724,unlabeled
2022-10-25 22:00:00+00:00,TA,Tages-Anzeiger,Debatte,German,3522,Der Feminist und Mansplainer,,3359,2022,"«Ich bin Feminist, aber vertrete offensichtlich einen anderen Feminismus als Alice Schwarzers Zeitschrift ‹Emma›.","10/25/2022, TA",4.3673773,0.42357874,unlabeled
2020-09-17 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10073,Nur auf das Gefühl kommt es an,"Absurde Thesen greifen um sich, wie etwa, dass nur Weisse Rassisten sein können. Was steckt dahinter?",9804,2020,"Damit wollten sie beweisen, dass sich diese Forschungsfelder inzwischen von objektiv-wissenschaftlichen Ansprüchen verabschiedet haben.","09/17/2020, NZZ",2.9002726,2.8333561,unlabeled
2020-06-17 22:00:00+00:00,TA,Tages-Anzeiger,Meinungen,German,3785,Mobbing im Zeichen des «Guten»,,3608,2020,"Nicht zuletzt sei bemerkt, dass die tatsächliche «Wokeness» dieser Unternehmen zweifelhaft bleibt.","06/17/2020, TA",3.0403373,0.9298731,unlabeled
2022-03-17 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,International,German,7596,Der Mann der grossen Brüche,Oskar Lafontaine erklärt Die Linke zur gescheiterten Partei und tritt aus,7288,2022,"Daraus leitet sich dann etwa die Vorstellung ab, weisse Männer dürften sich nicht zu bestimmten Themen äussern, weil sie qua Herkunft privilegiert seien.","03/17/2022, NZZ",4.231681,0.95447296,unlabeled
2022-02-20 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Schweiz,German,13049,«Wollen wir eine Gesinnungspolizei?»,,12675,2022,Konkret geht es um die Analyse einer historischen Quelle.,"02/20/2022, NZZ",3.7024677,4.5661635,unlabeled
2022-11-06 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Medien,German,12368,«Keine Sorge: Ich kann mich wehren»,,12092,2022,"Von daher: Ja, wir setzen uns mit gendergerechter Sprache auseinander.","11/06/2022, NZZ",3.8382478,0.30707142,unlabeled
2020-09-17 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10073,Nur auf das Gefühl kommt es an,"Absurde Thesen greifen um sich, wie etwa, dass nur Weisse Rassisten sein können. Was steckt dahinter?",9804,2020,"Widerspruch und Nonkonformität sind demnach sinnlos, weil Häresie.","09/17/2020, NZZ",2.4440258,1.5178745,unlabeled
2022-09-14 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9174,Realitätsverweigerung für Fortgeschrittene,"Radikale Linke weigern sich, islamistische Verbrechen als das zu bezeichnen, was sie sind. Von Lucien Scherrer",9068,2022,"Die «TAZ» berichtete in einem Artikel ausführlich über Hass gegen Transmenschen in Deutschland, verlor aber kein Wort über Islamismus.","09/14/2022, NZZ",6.497636,0.9937399,unlabeled
2021-06-14 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10546,Wenn Moralismus zur Staatsräson wird,"Einst verfügten totalitäre Staaten, was gesagt und gedacht werden darf. In der Demokratie läuft es nun umgekehrt. Von Josef Joffe",10427,2021,Demnach würde «Influenza» die alten Römer beleidigen.,"06/14/2021, NZZ",3.8414013,2.9345732,unlabeled
2022-06-06 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,International,German,7032,Frankreichs Bildungsminister spaltet das Land,Die Rechte reagiert auf die Ernennung des Historikers Pap Ndiaye empört,6836,2022,"Umstritten ist aber, dass die Schuldirektoren auch bei der Rekrutierung des Lehrpersonals Mitsprache haben.","06/06/2022, NZZ",4.8367696,2.4856887,unlabeled
2020-01-10 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,8434,Die moralische Rampensau – ein Phänotyp der Stunde,Gastkommentar,8346,2020,"In uns steckt das tief verwurzelte Bedürfnis nach Anerkennung, und diese Anerkennung holen wir uns immer auch durch das Selbstdarstellen.","01/10/2020, NZZ",2.4356127,1.3627205,unlabeled
2022-12-26 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,9484,Böse alte Welt,"«Woke» Westler werfen früheren Gesellschaften vor, anders zu denken, als wir es heute tun, und waschen die Vergangenheit weiss. Präsentismus heisst das Phänomen der Geschichtsklitterung. Zivilisierung aber heisst, aus Fehlern zu lernen. Von Viola Schenz",9370,2022,Harper wollte damit ein Zeichen setzen:,"12/26/2022, NZZ",-0.099571645,3.4892533,unlabeled
2021-03-07 23:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,2897,Wenn frustrierte Männer Frauen jagen,,2781,2021,Die rechtsextreme und die frauenfeindliche Szene überschneiden sich:,"03/07/2021, TA",4.134591,0.7467443,unlabeled
